name,position,mlb_team,league_id,fantasy_team_id,fa_status
Josue Lopez,RP,CIN,AA,,available
Juan Lopez,RP,WSH,AA,,available
Justin Lopez,SS,(N/A),AA,,available
Leandro Lopez,RP,TEX,AA,,available
Moises Lopez,2B,(N/A),AA,,available
Nicky Lopez,3B,COL,AA,,available
Reiner Lopez,RP,STL,AA,,available
Robert Lopez,C,(N/A),AA,,available
Ronny Lopez,SP,CHC,AA,,available
Aneury Lora,RP,SEA,AA,,available
Nestor Lorant,SP,CIN,AA,,available
Denton Lord,SP,(N/A),AA,,available
Kiefer Lord,SP,BAL,AA,,available
David Lorduy,SP,CIN,AA,,available
Abel Lorenzo,OF,LAD,AA,,available
Dauri Lorenzo,SS,(N/A),AA,,available
Francisco Loreto,3B,PHI,AA,,available
Nick Lorusso,"1B,3B",NYM,AA,,available
Qrey Lott,OF,SD,AA,,available
Aaron Loup,RP,(N/A),AA,,available
Carter Lovasz,RP,ATL,AA,,available
Austin Love,RP,STL,AA,,available
Eli Lovich,OF,CHC,AA,,available
Jackson Lovich,1B,NYY,AA,,available
Quinton Low,SP,MIL,AA,,available
Collin Lowe,RP,(N/A),AA,,available
Isaiah Lowe,SP,SD,AA,,available
Hunter Loyd,SP,PHI,AA,,available
Geuri Lubo,OF,CHC,AA,,available
Yaxson Lucena,OF,STL,AA,,available
Ismael Luciano,"SP,RP",COL,AA,,available
Ivan Luciano,C,ARI,AA,,available
Jordy Luciano,SP,(N/A),AA,,available
Sandy Luciano,OF,KC,AA,,available
Waner Luciano,3B,HOU,AA,,available
Kyle Luckham,SP,WSH,AA,,available
Nick Lucky,"2B,SS",(N/A),AA,,available
Drew Lugbauer,"1B,3B",(N/A),AA,,available
Alejandro Lugo,RP,(N/A),AA,,available
Andy Lugo,"1B,3B",MIN,AA,,available
Cesar Lugo,OF,CHC,AA,,available
Erick Lugo,OF,TB,AA,,available
Jesus Lugo,OF,BOS,AA,,available
Joswa Lugo,SS,LAA,AA,,available
Moises Lugo,RP,(N/A),AA,,available
William Lugo,"2B,3B,SS",NYM,AA,,available
Wilmer Lugo,RP,NYM,AA,,available
Yoneiker Lugo,C,MIL,AA,,available
Carlos Luis,SS,SD,AA,,available
Jansel Luis,"2B,3B",ARI,AA,,available
Yerlin Luis,OF,CLE,AA,,available
Rylan Lujo,3B,(N/A),AA,,available
Reese Lumpkin,RP,SEA,AA,,available
Alexey Lumpuy,OF,CHC,AA,,available
Gil Luna Jr.,SP,(N/A),AA,,available
Carlos Luna,SP,(N/A),AA,,available
Emanuel Luna,OF,(N/A),AA,,available
Esteban Luna,SP,BAL,AA,,available
Jesus Luna,RP,(N/A),AA,,available
Jorge Luna,SP,NYY,AA,,available
Darrel Lunar,SP,WSH,AA,,available
Logan Lunceford,SP,LAD,AA,,available
Wyatt Lunsford-Shenkman,RP,SEA,AA,,available
Jordan Luplow,OF,(N/A),AA,,available
Jordan Lyles,SP,(N/A),AA,,available
John Lynch,SP,(N/A),AA,,available
Ryan Lynch,RP,(N/A),AA,,available
Isaac Lyon,SP,WSH,AA,,available
Jake Lyons,"SP,RP",BAL,AA,,available
Jared Lyons,"SP,RP",CIN,AA,,available
Mason Lytle,OF,HOU,AA,,available
Burke-Lee Mabeus,C,(N/A),AA,,available
Will Mabrey,RP,ARI,AA,,available
JT Mabry,2B,(N/A),AA,,available
Djean Macares,OF,SF,AA,,available
Danny Macchiarola,SP,SEA,AA,,available
Zach MacDonald,OF,DET,AA,,available
Tommy Mace,"SP,RP",CLE,AA,,available
Juan Macero,3B,LAD,AA,,available
Travis MacGregor,RP,MIL,AA,,available
Anderson Machado,SS,(N/A),AA,,available
Andres Machado,RP,(N/A),AA,,available
Austin Machado,C,ATL,AA,,available
Diago Machado,OF,SEA,AA,,available
Dixon Machado,"3B,SS",CHC,AA,,available
Estiven Machado,SS,(N/A),AA,,available
Joel Machado,SP,CHC,AA,,available
Johan Machado,"3B,SS",MIA,AA,,available
Roilan Machandy,OF,HOU,AA,,available
Vimael Machin,3B,BAL,AA,,available
Irvin Machuca,RP,CIN,AA,,available
Antonis Macias,2B,TEX,AA,,available
Dallas Macias,OF,ATL,AA,,available
Johan Macias,"2B,SS",LAA,AA,,available
Josh Maciejewski,RP,MIL,AA,,available
Bernard Mack,SP,STL,AA,,available
Charles Mack,SS,(N/A),AA,,available
Landon Mack,SP,(N/A),AA,,available
Zack Mack,RP,NYM,AA,,available
Dylan MacLean,"SP,RP",TEX,AA,,available
Christian MacLeod,"SP,RP",MIN,AA,,available
Coleman MacRae,SP,HOU,AA,,available
Angel Macuare,RP,(N/A),AA,,available
Jake Madden,RP,COL,AA,,available
Riley Maddox,SP,WSH,AA,,available
Jesus Made,SS,MIL,AA,,available
Kevin Made,"2B,SS",WSH,AA,,available
Emannoel Madeira,SP,CHC,AA,,available
Steven Madero,1B,DET,AA,,available
Ben Madison,"SP,RP",(N/A),AA,,available
Truitt Madonna,C,SD,AA,,available
Reynaldo Madrigal,OF,(N/A),AA,,available
Bligh Madris,1B,DET,AA,,available
Bryce Madron,OF,(N/A),AA,,available
Jediael Maduro,OF,SF,AA,,available
Kendrey Maduro,3B,LAA,AA,,available
Kenta Maeda,RP,(N/A),AA,,available
Fermin Magallanes,RP,BAL,AA,,available
Mario Magana,OF,(N/A),AA,,available
Bryan Magdaleno,RP,TEX,AA,,available
Ryan Magdic,SP,ATH,AA,,available
Cam Magee,SS,(N/A),AA,,available
Drew Maggi,2B,(N/A),AA,,available
Grant Magill,C,CHW,AA,,available
Andrew Magno,RP,(N/A),AA,,available
Solomon Maguire,OF,(N/A),AA,,available
Lucas Mahlstedt,RP,LAA,AA,,available
Jack Mahoney,SP,COL,AA,,available
Jack Mahoney,RP,ATH,AA,,available
Adam Maier,SP,ATL,AA,,available
Kevin Maitan,1B,(N/A),AA,,available
Cesar Maiz,SP,CIN,AA,,available
Aidan Major,SP,CLE,AA,,available
Alex Makarewich,RP,LAD,AA,,available
Alec Makarewicz,"1B,3B",CHW,AA,,available
Shugo Maki,2B,(N/A),AA,,available
Chance Mako,SP,(N/A),AA,,available
Cooper Malamazian,SS,(N/A),AA,,available
Aidan Maldonado,RP,MIL,AA,,available
Cameron Maldonado,OF,SF,AA,,available
Gerelmi Maldonado,SP,SF,AA,,available
Martin Maldonado,C,SD,AA,,available
Nick Maldonado,RP,MIA,AA,,available
Ben Malgeri,OF,DET,AA,,available
Dalton Mall,SP,NYM,AA,,available
Josh Mallitz,RP,SD,AA,,available
Brennan Malone,RP,PIT,AA,,available
Maddox Malony,3B,(N/A),AA,,available
Rorik Maltrud,SP,CLE,AA,,available
Alexander Mambel,1B,BOS,AA,,available
Joey Mancini,"SP,RP",HOU,AA,,available
Trey Mancini,1B,(N/A),AA,,available
Mark Manfredi,RP,MIL,AA,,available
Thomas Mangus,RP,CHC,AA,,available
Devin Mann,"1B,3B",(N/A),AA,,available
Hunter Mann,RP,COL,AA,,available
Luke Mann,"1B,3B",ATH,AA,,available
Chusei Mannami,1B,(N/A),AA,,available
Matt Manning,RP,PHI,AA,,available
Noah Manning,RP,(N/A),AA,,available
Timmy Manning,RP,(N/A),AA,,available
Renair Manrique,SS,(N/A),AA,,available
Joe Mantiply,RP,TOR,AA,,available
Marco Manzano,RP,NYY,AA,,available
Mikell Manzano,RP,(N/A),AA,,available
Anyel Manzueta,RP,WSH,AA,,available
Sami Manzueta,"2B,3B",HOU,AA,,available
Luis Maracara,RP,SD,AA,,available
Agustin Marcano,C,WSH,AA,,available
Carlos Marcano,SP,DET,AA,,available
Jose Marcano,1B,CLE,AA,,available
Jose Marcano,C,TEX,AA,,available
Rafael Marcano,RP,(N/A),AA,,available
Tucupita Marcano,OF,(N/A),AA,,available
Orlando Marcelin,RP,TOR,AA,,available
Hansel Marcelino,RP,(N/A),AA,,available
Manuel Marchan,SP,CIN,AA,,available
Moises Marchan,C,KC,AA,,available
Jorge Marcheco,"SP,RP",LAA,AA,,available
Jake Marciano,SP,(N/A),AA,,available
Brady Marget,1B,TB,AA,,available
Nick Margevicius,SP,DET,AA,,available
Maximo Maria,OF,(N/A),AA,,available
Yander Maria,SP,CHC,AA,,available
Diovel Mariano,RP,CLE,AA,,available
Naibel Mariano,SS,CIN,AA,,available
Reyli Mariano,2B,LAD,AA,,available
Jermaine Maricuto,1B,(N/A),AA,,available
Alexis Marin,SP,(N/A),AA,,available
Jahir Marin,C,(N/A),AA,,available
Junior Marin,OF,(N/A),AA,,available
Liosward Marin,UT,BOS,AA,,available
Manny Marin,SS,(N/A),AA,,available
Nelson Marin,"C,1B",DET,AA,,available
Louis Marinaro,RP,TEX,AA,,available
Luis Marinez,1B,(N/A),AA,,available
Stiven Marinez,SS,NYY,AA,,available
Ynmanol Marinez,SS,(N/A),AA,,available
Michael Mariot,"SP,RP",SEA,AA,,available
Jake Marisnick,OF,(N/A),AA,,available
Bennett Markinson,C,PHI,AA,,available
Easton Marks,SP,COL,AA,,available
Jordan Marks,RP,DET,AA,,available
Gedionne Marlin,2B,(N/A),AA,,available
Cade Marlowe,OF,SEA,AA,,available
Eddy Marmolejos,3B,WSH,AA,,available
Landen Maroudis,SP,TOR,AA,,available
Austin Marozas,RP,TOR,AA,,available
Anthony Marquez,SS,SF,AA,,available
Anyelo Marquez,2B,LAA,AA,,available
Brailyn Marquez,SP,(N/A),AA,,available
Edinzo Marquez,SP,NYY,AA,,available
Emilio Marquez,RP,KC,AA,,available
Franklin Marquez,SP,(N/A),AA,,available
Gustavo Marquez,OF,(N/A),AA,,available
Jesus Marquez,1B,(N/A),AA,,available
Luis Marquez,"2B,SS",TEX,AA,,available
Noslen Marquez,SP,(N/A),AA,,available
Ramon Marquez,SP,PHI,AA,,available
Victor Marquez,C,PIT,AA,,available
Adriano Marrero,SP,MIA,AA,,available
Andrew Marrero,RP,(N/A),AA,,available
Elias Marrero,UT,PHI,AA,,available
Elih Marrero,C,(N/A),AA,,available
Wendell Marrero,OF,(N/A),AA,,available
Mason Marriott,SP,ARI,AA,,available
Chandler Marsh,RP,BAL,AA,,available
Tatum Marsh,OF,(N/A),AA,,available
Shane Marshall,RP,CHC,AA,,available
Duncan Marsten,SP,(N/A),AA,,available
Angel Marte,C,(N/A),AA,,available
Daniel Marte,OF,(N/A),AA,,available
Francis Marte,SP,ATH,AA,,available
Hamlet Marte,C,(N/A),AA,,available
Jose Marte,RP,NYM,AA,,available
Modeifi Marte,1B,ARI,AA,,available
Sabier Marte,SP,NYY,AA,,available
Yunior Marte,RP,(N/A),AA,,available
Yunior Marte,SP,SF,AA,,available
Curley Martha,SS,TEX,AA,,available
Casey Martin,"1B,2B,3B,SS",(N/A),AA,,available
Christian Martin,2B,STL,AA,,available
Colby Martin,RP,MIA,AA,,available
Corbin Martin,RP,BAL,AA,,available
David Martin,C,ARI,AA,,available
Garrett Martin,OF,NYY,AA,,available
Jason Martin,OF,(N/A),AA,,available
Kaden Martin,OF,(N/A),AA,,available
Logan Martin,SP,SF,AA,,available
Mason Martin,"1B,OF",(N/A),AA,,available
Max Martin,RP,KC,AA,,available
Maximus Martin,SS,BOS,AA,,available
Maxton Martin,OF,TEX,AA,,available
Payton Martin,SP,LAD,AA,,available
Riley Martin,RP,CHC,AA,,available
Robby Martin,OF,(N/A),AA,,available
Roman Martin,SS,(N/A),AA,,available
Rudy Martin,OF,KC,AA,,available
Trevor Martin,SP,TB,AA,,available
Walker Martin,"3B,SS",SF,AA,,available
Bryce Martin-Grudzielanek,3B,NYY,AA,,available
Clarence Martina,RP,WSH,AA,,available
Adrian Martinez,RP,(N/A),AA,,available
Alex Martinez,RP,LAA,AA,,available
Alexander Martinez,C,ATL,AA,,available
Alfonzo Martinez,OF,TB,AA,,available
Anel Martinez,SP,(N/A),AA,,available
Anthony Martinez,1B,CLE,AA,,available
Bernie Martinez,SP,SEA,AA,,available
Browm Martinez,OF,WSH,AA,,available
Bryan Martinez,OF,LAA,AA,,available
Carlos Martinez,C,SF,AA,,available
Chazz Martinez,RP,KC,AA,,available
Daniel Martinez,"SP,RP",(N/A),AA,,available
Emil Martinez,SS,TEX,AA,,available
Emmanuel Martinez,RP,TEX,AA,,available
Eric Martinez,C,MIL,AA,,available
Felix Martinez,RP,(N/A),AA,,available
Frank Martinez,RP,TEX,AA,,available
Gabriel Martinez,OF,TOR,AA,,available
Henry Martinez,SP,(N/A),AA,,available
Izaak Martinez,RP,CLE,AA,,available
J.D. Martinez,UT,(N/A),AA,,available
J.P. Martinez,OF,(N/A),AA,,available
Jack Martinez,SP,ARI,AA,,available
Jaset Martinez,1B,CIN,AA,,available
Jeter Martinez,SP,PIT,AA,,available
Jhonny Martinez,RP,ATL,AA,,available
Jonathan Martinez,2B,CLE,AA,,available
Jordi Martinez,RP,(N/A),AA,,available
Jose Martinez,SP,(N/A),AA,,available
Jose Martinez,RP,NYY,AA,,available
"Ernesto Martinez, Jr.",1B,NYY,AA,,available
Juan Martinez,1B,SD,AA,,available
Juan Martinez,"2B,3B",MIL,AA,,available
Juan Martinez,SP,(N/A),AA,,available
Kendry Martinez,SS,SEA,AA,,available
Kevin Martinez,SP,COL,AA,,available
Keyner Martinez,"SP,RP",SF,AA,,available
Larry Martinez,1B,TB,AA,,available
Liomar Martinez,SP,MIA,AA,,available
Luis Martinez,1B,(N/A),AA,,available
Maison Martinez,RP,CIN,AA,,available
Maximo Martinez,SP,CHW,AA,,available
Michael Martinez,RP,MIN,AA,,available
Michael Martinez,OF,ATL,AA,,available
Nolan Martinez,"SP,RP",(N/A),AA,,available
Omar Martinez,C,NYY,AA,,available
Orelvis Martinez,SS,TOR,AA,,available
Orlando Martinez,OF,HOU,AA,,available
Pedro Martinez,SS,(N/A),AA,,available
Quinton Martinez,SP,LAA,AA,,available
Raidel Martinez,SP,(N/A),AA,,available
Randol Martinez,RP,PIT,AA,,available
Randy Martinez,1B,CLE,AA,,available
Raudelis Martinez,"C,1B",TB,AA,,available
Robinson Martinez,RP,(N/A),AA,,available
Rodolfo Martinez,RP,BAL,AA,,available
Santiago Martinez,SP,MIL,AA,,available
Seth Martinez,RP,MIA,AA,,available
Stiven Martinez,OF,BAL,AA,,available
Xavier Martinez,RP,CLE,AA,,available
Yeral Martinez,1B,MIA,AA,,available
Yohander Martinez,SS,(N/A),AA,,available
Yordani Martinez,2B,MIA,AA,,available
Luis Martinez-Gomez,RP,CHC,AA,,available
Nick Martini,UT,ATH,AA,,available
Mairoshendrick Martinus,SS,LAD,AA,,available
Shendrion Martinus,3B,CIN,AA,,available
Brandon Martorano,C,(N/A),AA,,available
Nathan Martorella,1B,MIA,AA,,available
Jack Maruskin,SP,BAL,AA,,available
J.P. Massey,RP,PIT,AA,,available
Michael Massey,SP,DET,AA,,available
Cameron Masterman,OF,(N/A),AA,,available
Bryan Mata,RP,BOS,AA,,available
Jean Mata,OF,(N/A),AA,,available
Richer Mata,1B,KC,AA,,available
Alejandro Mateo,"SP,RP",(N/A),AA,,available
Angel Mateo,OF,TB,AA,,available
Carlos Mateo,SP,KC,AA,,available
Carlos Mateo,RP,PIT,AA,,available
Daniel Mateo,OF,(N/A),AA,,available
Juan Mateo,3B,ATL,AA,,available
Shane Matheny,1B,(N/A),AA,,available
Juan Matheus,3B,NYY,AA,,available
Jack Mathey,C,SD,AA,,available
Mark Mathias,2B,(N/A),AA,,available
Dylan Mathiesen,SP,PIT,AA,,available
Ryan Mathiesen,RP,HOU,AA,,available
Cole Mathis,3B,CHC,AA,,available
Carter Mathison,OF,PHI,AA,,available
Carlos Matias,OF,TB,AA,,available
Richard Matic,3B,NYY,AA,,available
J.J. Matijevic,1B,(N/A),AA,,available
David Matoma,RP,PIT,AA,,available
Jacob Maton,SP,(N/A),AA,,available
Delvis Matos,OF,(N/A),AA,,available
Dwayne Matos,SP,(N/A),AA,,available
Erick Matos,SP,ATH,AA,,available
Ewing Matos,OF,MIN,AA,,available
Sean Matson,RP,CLE,AA,,available
Shion Matsuo,C,(N/A),AA,,available
Shinya Matsuyama,SP,(N/A),AA,,available
Case Matter,RP,TEX,AA,,available
Jason Matthews,3B,CHW,AA,,available
John Matthews,RP,(N/A),AA,,available
Micah Matthews,3B,(N/A),AA,,available
Zack Matthews,RP,(N/A),AA,,available
Connor Mattison,SP,(N/A),AA,,available
Tyler Matzek,RP,STL,AA,,available
Alex Mauricio,RP,NYY,AA,,available
Logan Maxwell,OF,NYY,AA,,available
Aiden May,SP,MIA,AA,,available
Seth Mayberry,RP,(N/A),AA,,available
Brando Mayea,OF,NYY,AA,,available
Bryce Mayer,SP,HOU,AA,,available
Gunner Mayer,RP,PHI,AA,,available
Jacob Mayers,RP,BOS,AA,,available
Mike Mayers,RP,(N/A),AA,,available
Kash Mayfield,SP,SD,AA,,available
Diustin Mayorquin,SP,MIL,AA,,available
Niko Mazza,SP,SF,AA,,available
Charles McAdoo,3B,TOR,AA,,available
Zach McAllister,RP,(N/A),AA,,available
Aric McAtee,RP,CHW,AA,,available
Michael McAvene,"SP,RP",(N/A),AA,,available
Ben McCabe,C,COL,AA,,available
David McCabe,"1B,3B",ATL,AA,,available
Zach McCambley,"SP,RP",PHI,AA,,available
David McCann,C,NYY,AA,,available
Kyle McCann,C,(N/A),AA,,available
Jordan McCants,"2B,SS",(N/A),AA,,available
T.J. McCants,OF,CHW,AA,,available
DJ McCarty,SP,TEX,AA,,available
Ryan McCarty,2B,TOR,AA,,available
Darren McCaughan,RP,MIN,AA,,available
Will McCausland,SP,CLE,AA,,available
Nik McClaughry,SS,(N/A),AA,,available
Dexter McCleon Jr,1B,(N/A),AA,,available
Zac McCleve,RP,TB,AA,,available
LeTrey McCollum,OF,LAA,AA,,available
Tommy McCollum,RP,TB,AA,,available
Jacob McCombs,OF,MIN,AA,,available
Mason McConnaughey,SP,TEX,AA,,available
Cole McConnell,OF,CHW,AA,,available
Alex McCoy,OF,SD,AA,,available
Kyle McCoy,SP,CIN,AA,,available
Ryan McCoy,OF,TB,AA,,available
Mac McCroskey,"2B,SS",LAA,AA,,available
Ryan McCrystal,"C,1B",CIN,AA,,available
Brody McCullough,SP,CHC,AA,,available
Connor McCullough,SP,CHW,AA,,available
Morgan McCullough,"2B,SS",(N/A),AA,,available
Jake McCutcheon,OF,MIA,AA,,available
Charlie McDaniel,"SP,RP",SF,AA,,available
Drew McDaniel,SP,CHW,AA,,available
Quinn McDaniel,2B,SF,AA,,available
Garrett McDaniels,RP,LAD,AA,,available
Ryan McDonagh,SP,KC,AA,,available
LJ McDonough,RP,ATL,AA,,available
Tyler McDonough,SS,BOS,AA,,available
Max McDowell,C,(N/A),AA,,available
Micah McDowell,OF,MIA,AA,,available
Walker McDuffie,RP,(N/A),AA,,available
Chris McElvain,SP,TOR,AA,,available
Ethan McElvain,SP,(N/A),AA,,available
Daniel McElveny,C,(N/A),AA,,available
Alex McFarlane,"SP,RP",PHI,AA,,available
Aaron McGarity,RP,(N/A),AA,,available
Griff McGarry,"SP,RP",WSH,AA,,available
Haydn McGeary,1B,CHC,AA,,available
Cade McGee,3B,STL,AA,,available
Jonny McGill,OF,LAA,AA,,available
Will McGillis,SS,LAA,AA,,available
Connor McGinnis,2B,NYY,AA,,available
Bryce McGowan,RP,COL,AA,,available
Christian McGowan,SP,PHI,AA,,available
Kyle McGowin,SP,(N/A),AA,,available
Cooper McGrath,RP,SF,AA,,available
Teddy McGraw,SP,SEA,AA,,available
Logan McGuire,RP,CLE,AA,,available
Shane McGuire,"C,1B",ATH,AA,,available
Mason McGwire,SP,CHC,AA,,available
Max McGwire,1B,(N/A),AA,,available
John McHenry,SS,(N/A),AA,,available
Brandon McIlwain,OF,NYM,AA,,available
Colton McIntosh,SP,CHW,AA,,available
Paul McIntosh,C,PHI,AA,,available
Dalton McIntyre,OF,ATL,AA,,available
Donovan McIntyre,OF,SF,AA,,available
Brendan McKay,SP,(N/A),AA,,available
Tyler McKay,RP,(N/A),AA,,available
Cooper McKeehan,SP,(N/A),AA,,available
Aaron McKeithan,C,PIT,AA,,available
Evan McKendry,"SP,RP",MIA,AA,,available
Ryan McKenna,OF,(N/A),AA,,available
Briggs McKenzie,SP,ATL,AA,,available
Jared McKenzie,OF,WSH,AA,,available
Triston McKenzie,RP,CLE,AA,,available
Nick McLain,OF,CHW,AA,,available
Sean McLain,SS,LAD,AA,,available
Ben McLaughlin,1B,ARI,AA,,available
J.D. McLaughlin,OF,DET,AA,,available
Mark McLaughlin,RP,CHW,AA,,available
Trey McLoughlin,RP,NYM,AA,,available
Tyler McLoughlin,SP,NYM,AA,,available
Rylan McMahan,SP,(N/A),AA,,available
Chris McMahon,SP,COL,AA,,available
Hunter McMahon,"SP,RP",(N/A),AA,,available
Garrett McMillan,SP,PIT,AA,,available
John McMillon,RP,PHI,AA,,available
Brennon McNair,OF,KC,AA,,available
Caleb McNeely,OF,(N/A),AA,,available
Luke McNeillie,SP,(N/A),AA,,available
Jamaurion McQueen,OF,TEX,AA,,available
J.D. McReynolds,RP,TEX,AA,,available
Matt McShane,RP,BOS,AA,,available
Jake McSteen,RP,ATL,AA,,available
Morgan McSweeney,SP,MIA,AA,,available
Sam McWilliams,RP,(N/A),AA,,available
Xavier Meachem,RP,MIA,AA,,available
Jacob Meador,"SP,RP",LAD,AA,,available
Austin Meadows,OF,(N/A),AA,,available
Josh Mears,OF,(N/A),AA,,available
Bryce Meccage,SP,MIL,AA,,available
Kyler Meccage,OF,(N/A),AA,,available
Kade Mechals,"SP,RP",CHW,AA,,available
Alexander Meckley,SP,WSH,AA,,available
Adonis Medina,RP,PHI,AA,,available
Albert Medina,OF,ARI,AA,,available
Alver Medina,3B,(N/A),AA,,available
Amilcar Medina,RP,ATH,AA,,available
Brayan Medina,RP,(N/A),AA,,available
Dilan Medina,OF,(N/A),AA,,available
Elias Medina,OF,LAD,AA,,available
Jhon Medina,SP,COL,AA,,available
Johandi Medina,RP,TOR,AA,,available
Jose Medina,1B,(N/A),AA,,available
Juan Medina,SP,BOS,AA,,available
Manuel Medina,RP,BOS,AA,,available
Nomar Medina,SP,SF,AA,,available
Raimel Medina,OF,KC,AA,,available
Ramcell Medina,SS,KC,AA,,available
Raymer Medina,SS,TB,AA,,available
Roberto Medina,RP,TB,AA,,available
Ruben Medina,SP,TEX,AA,,available
Yorfran Medina,1B,(N/A),AA,,available
James Meeker,RP,(N/A),AA,,available
Chase Meggers,C,NYM,AA,,available
Tylor Megill,SP,NYM,AA,,available
Justin Meis,RP,PIT,AA,,available
Ryan Meisinger,RP,(N/A),AA,,available
Adriander Mejia,C,BAL,AA,,available
Enmanuel Mejia,RP,(N/A),AA,,available
Erick Mejia,RP,WSH,AA,,available
Esteban Mejia,SP,BAL,AA,,available
Esteban Mejia,"3B,SS",TEX,AA,,available
Francisco Mejia,C,WSH,AA,,available
Ian Mejia,SP,ATL,AA,,available
Ismael Mejia,1B,ARI,AA,,available
J.C. Mejia,RP,(N/A),AA,,available
Jonathan Mejia,"2B,SS",STL,AA,,available
Jose Mejia,3B,BAL,AA,,available
Jose Mejia,SP,KC,AA,,available
Naoel Mejia,RP,PHI,AA,,available
Omar Mejia,3B,KC,AA,,available
Samuel Mejia,RP,ATL,AA,,available
Sandy Mejia,SP,HOU,AA,,available
Alvaro Mejias,SP,BOS,AA,,available
Christian Mejias,SP,MIL,AA,,available
Manuel Mejias,C,(N/A),AA,,available
Ubert Mejias,RP,SF,AA,,available
Yorberto Mejicano,1B,(N/A),AA,,available
Alejandro Melean,RP,TOR,AA,,available
Adiel Melendez,SP,ATL,AA,,available
Anderson Melendez,RP,(N/A),AA,,available
Cristofer Melendez,RP,PIT,AA,,available
Edwardo Melendez,"SP,RP",CHC,AA,,available
Gustavo Melendez,SS,PIT,AA,,available
Ivan Melendez,1B,ARI,AA,,available
Jaime Melendez,"SP,RP",(N/A),AA,,available
Yahil Melendez,SS,CHC,AA,,available
Oscar Melgarejo,SP,CLE,AA,,available
Leandy Mella,OF,NYM,AA,,available
Bryan Mena,"SP,RP",COL,AA,,available
Ismael Mena,OF,(N/A),AA,,available
Walvin Mena,RP,ARI,AA,,available
Chipper Menard,"SP,RP",BAL,AA,,available
Weslley Mendes,SP,(N/A),AA,,available
Alberto Mendez,"2B,3B",CLE,AA,,available
Alejandro Mendez,RP,BAL,AA,,available
Bryant Mendez,2B,SEA,AA,,available
Franyer Mendez,SP,CIN,AA,,available
Gerinton Mendez,SP,MIA,AA,,available
Hendry Mendez,OF,MIN,AA,,available
Jeshua Mendez,C,ARI,AA,,available
Jesus Mendez,RP,CHW,AA,,available
Joel Mendez,OF,(N/A),AA,,available
Jorge Mendez,C,(N/A),AA,,available
Juan Mendez,RP,(N/A),AA,,available
Julio Mendez,SP,MIA,AA,,available
Leam Mendez,SP,NYY,AA,,available
Lenin Mendez,RP,MIL,AA,,available
Luis Mendez,1B,COL,AA,,available
Miguel Mendez,RP,SD,AA,,available
Romel Mendez,OF,PHI,AA,,available
Teofilo Mendez,SS,ARI,AA,,available
Wady Mendez,OF,TEX,AA,,available
Wuilberth Mendez,SP,DET,AA,,available
Noah Mendlinger,"2B,OF",STL,AA,,available
Abdiel Mendoza,RP,MIL,AA,,available
Brayan Mendoza,RP,MIA,AA,,available
Carlos Mendoza,"2B,3B",TOR,AA,,available
Damian Mendoza,RP,(N/A),AA,,available
Dante Mendoza,"SP,RP",CLE,AA,,available
Edwin Mendoza,RP,ATH,AA,,available
Jordarlin Mendoza,RP,NYY,AA,,available
Jose Mendoza,SP,(N/A),AA,,available
Ramon Mendoza,3B,STL,AA,,available
Vicente Mendoza,OF,(N/A),AA,,available
Joseph Menefee,RP,CIN,AA,,available
Antonio Menendez,RP,TB,AA,,available
Ruben Menes,SP,STL,AA,,available
Daniel Mengden,SP,(N/A),AA,,available
Luke Mensik,SP,SF,AA,,available
Lorenzo Meola,2B,SF,AA,,available
Richard Meran,OF,NYY,AA,,available
Dylan Mercado,3B,(N/A),AA,,available
Enderson Mercado,SP,MIL,AA,,available
Estarling Mercado,1B,NYM,AA,,available
Jan Mercado,C,(N/A),AA,,available
Logan Mercado,"SP,RP",ARI,AA,,available
Oscar Mercado,OF,PHI,AA,,available
Reidy Mercado,OF,(N/A),AA,,available
Abel Mercedes,RP,HOU,AA,,available
Ernesto Mercedes,RP,NYM,AA,,available
Jeffrey Mercedes,"2B,3B",CLE,AA,,available
Jorge Mercedes,RP,(N/A),AA,,available
Juan Mercedes,"SP,RP",SF,AA,,available
Juan Mercedes,RP,(N/A),AA,,available
Manuel Mercedes,"SP,RP",SF,AA,,available
Miqueas Mercedes,SP,MIL,AA,,available
Yasser Mercedes,OF,MIN,AA,,available
LJ Mercurius,SP,(N/A),AA,,available
Hayden Merda,RP,NYY,AA,,available
Luis Merejo,"1B,OF",CLE,AA,,available
Nick Merkel,RP,MIL,AA,,available
Matt Merrill,RP,(N/A),AA,,available
Caden Merritt,OF,ATL,AA,,available
Julian Merryweather,RP,MIL,AA,,available
David Mershon,"2B,SS",LAA,AA,,available
Matt Mervis,1B,ARI,AA,,available
Miguel Mesa,SP,BAL,AA,,available
Victor Mesia,C,(N/A),AA,,available
Carson Messina,RP,TOR,AA,,available
Cole Messina,C,COL,AA,,available
Skyler Messinger,3B,COL,AA,,available
Zach Messinger,RP,NYY,AA,,available
Frankeli Mesta,3B,PIT,AA,,available
Brian Metoyer,RP,NYM,AA,,available
Sam Mettert,RP,CHC,AA,,available
Ben Metzinger,1B,(N/A),AA,,available
Chase Meyer,RP,(N/A),AA,,available
Danery Meyer,RP,SEA,AA,,available
Jake Meyer,C,(N/A),AA,,available
Nick Meyer,C,(N/A),AA,,available
Noble Meyer,SP,MIA,AA,,available
Chris Meyers,"1B,OF",DET,AA,,available
Jose Meza,"1B,OF",LAD,AA,,available
Kendal Meza,RP,SEA,AA,,available
