name,position,mlb_team,league_id,fantasy_team_id,fa_status
Lincoln Henzman,RP,(N/A),AA,,available
Ryan Heppner,SP,ATL,AA,,available
Sean Heppner,RP,CLE,AA,,available
Tyler Herb,SP,(N/A),AA,,available
Christian Herberholz,RP,BAL,AA,,available
Jholbran Herder,RP,LAD,AA,,available
Adrian Heredia,SP,BAL,AA,,available
Joel Heredia,RP,PHI,AA,,available
Nathanael Heredia,RP,(N/A),AA,,available
Osvaldo Heredia,OF,MIA,AA,,available
Raylin Heredia,OF,PHI,AA,,available
Roblin Heredia,RP,(N/A),AA,,available
Kevin Herget,RP,NYM,AA,,available
Jack Herman,OF,PIT,AA,,available
Sean Hermann,RP,NYY,AA,,available
Michael Hermosillo,OF,(N/A),AA,,available
Aaron Hernandez,RP,(N/A),AA,,available
Abraham Hernandez,SP,MIA,AA,,available
Adrian Hernandez,RP,(N/A),AA,,available
Alberto Hernandez,2B,HOU,AA,,available
Alcides Hernandez,UT,SD,AA,,available
Alex Hernandez,2B,(N/A),AA,,available
Alexis Hernandez,"2B,SS",CHC,AA,,available
Alexis Hernandez,OF,TOR,AA,,available
Alix Hernandez,RP,SF,AA,,available
Allan Hernandez,RP,CLE,AA,,available
Angelo Hernandez,UT,CHW,AA,,available
Arxy Hernandez,"3B,SS",CHW,AA,,available
Ben Hernandez,RP,SEA,AA,,available
Brayan Hernandez,C,(N/A),AA,,available
Cesar Hernandez,OF,HOU,AA,,available
Cristian Hernandez,RP,NYY,AA,,available
Cristian Hernandez,SS,CHC,AA,,available
Cristian Hernandez,SP,MIN,AA,,available
Daniel Hernandez,C,WSH,AA,,available
Diego Hernandez,OF,(N/A),AA,,available
Diego Hernandez,SP,(N/A),AA,,available
Diego Hernandez,SS,(N/A),AA,,available
Diomedes Hernandez,C,NYY,AA,,available
Edinson Hernandez,SP,SD,AA,,available
Elier Hernandez,OF,(N/A),AA,,available
Elieser Hernandez,RP,ATL,AA,,available
Erick Hernandez,OF,(N/A),AA,,available
Evelio Hernandez,SP,CLE,AA,,available
Frank Hernandez,C,(N/A),AA,,available
Freddy Hernandez,SP,LAA,AA,,available
Henderson Hernandez,SP,NYM,AA,,available
Herick Hernandez,SP,ATL,AA,,available
Hojans Hernandez,1B,ATL,AA,,available
Jakob Hernandez,RP,(N/A),AA,,available
Jason Hernandez,OF,SD,AA,,available
Jesus Hernandez,"2B,3B",MIA,AA,,available
Jommy Hernandez,RP,CHW,AA,,available
Jonathan Hernandez,RP,TB,AA,,available
Jorge Hernandez,"2B,3B",KC,AA,,available
Jose Hernandez,RP,(N/A),AA,,available
Joseph Hernandez,RP,(N/A),AA,,available
Juan Hernandez,3B,DET,AA,,available
Juan Hernandez,3B,(N/A),AA,,available
Julian Hernandez,C,NYM,AA,,available
Justin Hernandez,RP,(N/A),AA,,available
Kendrick Hernandez,3B,DET,AA,,available
Leandro Hernandez,RP,(N/A),AA,,available
Luigi Hernandez,SP,(N/A),AA,,available
Luis Hernandez,1B,PHI,AA,,available
Luis Hernandez,SS,(N/A),AA,,available
Maikel Hernandez,SP,(N/A),AA,,available
Maikel Hernandez,C,(N/A),AA,,available
Maikol Hernandez,"3B,SS",BAL,AA,,available
Maxwel Hernandez,RP,PHI,AA,,available
Melkis Hernandez,SP,CLE,AA,,available
Melvin Hernandez,SP,MIL,AA,,available
Merphy Hernandez,OF,MIN,AA,,available
Miguel Hernandez,"3B,SS",(N/A),AA,,available
Miguel Hernandez,SS,STL,AA,,available
Nick Hernandez,RP,HOU,AA,,available
Omar Hernandez,C,KC,AA,,available
Oscar Hernandez,RP,(N/A),AA,,available
Pedro Hernandez,SS,CLE,AA,,available
Ronald Hernandez,"C,1B",NYM,AA,,available
Ronaldo Hernandez,C,BOS,AA,,available
Ronny Hernandez,C,BOS,AA,,available
Roynier Hernandez,2B,COL,AA,,available
Sammy Hernandez,"C,1B",STL,AA,,available
Seth Hernandez,SP,PIT,AA,,available
Wilfrre Hernandez,SP,(N/A),AA,,available
Wilkel Hernandez,"SP,RP",DET,AA,,available
Yandro Hernandez,OF,MIN,AA,,available
Yonny Hernandez,"2B,SS",(N/A),AA,,available
Yoslaniel Hernandez,SP,PIT,AA,,available
Nick Herold,RP,SF,AA,,available
Adrian Herrera,"SP,RP",CIN,AA,,available
Angel Herrera,SP,PIT,AA,,available
Eduardo Herrera,RP,NYM,AA,,available
Eduardo Herrera,1B,CHW,AA,,available
Franyer Herrera,RP,NYY,AA,,available
Herlinton Herrera,1B,COL,AA,,available
Javier Herrera,OF,LAD,AA,,available
Jorge Herrera,RP,KC,AA,,available
Jose Herrera,C,TEX,AA,,available
Keider Herrera,RP,COL,AA,,available
Kendrick Herrera,SS,PIT,AA,,available
Marcos Herrera,SP,COL,AA,,available
Martin Herrera,SP,DET,AA,,available
Reiner Herrera,C,CLE,AA,,available
Ronald Herrera,RP,(N/A),AA,,available
Roybert Herrera,1B,NYM,AA,,available
Steven Herrera,2B,MIA,AA,,available
Welinton Herrera,RP,COL,AA,,available
Yilber Herrera,3B,MIN,AA,,available
Yordy Herrera,RP,STL,AA,,available
Yujanyer Herrera,SP,COL,AA,,available
Griffin Herring,SP,COL,AA,,available
Jimmy Herron,OF,MIL,AA,,available
Tyler Herron,C,(N/A),AA,,available
Eli Herst,SP,(N/A),AA,,available
Cole Hertzler,SP,HOU,AA,,available
Kyle Hess,OF,MIN,AA,,available
Zack Hess,"SP,RP",(N/A),AA,,available
Kehden Hettiger,"C,1B",PHI,AA,,available
Peter Heubeck,SP,LAD,AA,,available
Codi Heuer,RP,DET,AA,,available
Mac Heuer,SP,NYY,AA,,available
Stone Hewlett,RP,LAA,AA,,available
Luke Heyman,C,SEA,AA,,available
Matt Hickey,SP,STL,AA,,available
Nathan Hickey,1B,BOS,AA,,available
Brewer Hicklen,OF,ATL,AA,,available
Mason Hickman,RP,(N/A),AA,,available
Aaron Hicks,OF,(N/A),AA,,available
James Hicks,SP,HOU,AA,,available
Davion Hickson,SP,LAD,AA,,available
Atsumi Hidaka,SP,(N/A),AA,,available
Alejandro Hidalgo,SP,MIN,AA,,available
Andri Hidalgo,SP,(N/A),AA,,available
Diomar Hidalgo,SS,BOS,AA,,available
Kelvin Hidalgo,"3B,SS",COL,AA,,available
Renny Hidalgo,OF,(N/A),AA,,available
Reyden Hidalgo,SS,(N/A),AA,,available
Jake Higginbotham,RP,SD,AA,,available
Thomas Higgins Jr.,SP,SEA,AA,,available
Matt Higgins,1B,(N/A),AA,,available
P.J. Higgins,"C,1B,3B",CIN,AA,,available
Ryan Higgins,3B,(N/A),AA,,available
Ross Highfill,C,(N/A),AA,,available
Sam Highfill,SP,PHI,AA,,available
Cobb Hightower,SS,BAL,AA,,available
Jovensly Hilaire,OF,TEX,AA,,available
Danny Hilario,RP,TB,AA,,available
Michael Hilker,SP,MIN,AA,,available
