C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Miguel Amaya,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Waive-BAL (26),,,C,Drew Romo,COL,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,1B,Willson Contreras,STL,"18,500,000","27,750,000",UFA,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Rule V-LAD (25),,,1B,Wes Clarke,MIL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-PHI (25),,,1B,Warming Bernabel,COL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-NYM (25),,,2B,Demetrio Nadal,MIL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-TOR (25),,,2B,Adam Frazier,BAL,"6,500,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA  (25),,,2B,Marcus Semien,TEX,"26,000,000","26,000,000","20,000,000",UFA,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-KC (25),,,2B,Casey Schmitt,SF,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Rule V - BOS (26),,,2B,Cooper Kinney,TB,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (22) Rd 2,,,2B,Cole Young,SEA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SF 25,,,SS,Corey Seager,TEX,"31,500,000","31,500,000","31,500,000","31,500,000","31,500,000","31,500,000","31,500,000",UFA,,,,,,
X,,X,,,,,,,,,,,,,,Inaugural Draft,,,SS,Denzer Guzman ,LAA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,,,,,0,,,,,,,,,,Rule V-CLE (25),,,SS,Eddys Leonard,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-PHI (25),,,3B,Ronny Mauricio,NYM,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Trade-PHI (25),,,3B,Oswaldo Cabrera,NYY,"1,200,000",ARB 2,ARB 3,UFA,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-TOR (25),,,3B,Wilfred Veras,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAA (26),,,3B,Alec Bohm,PHI,ARB 3,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Rule V-MIL (25),,,3B,A.J. Vukovich ,ARZ,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-DET (25),,,3B,Gage Workman,DET,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,,,,,,,,,,,Trade-LAD (25),,,OF,Hector Rodriguez,CIN,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-PHI  (25),,,OF,Giancarlo Stanton,NYY,"14,500,000","41,000,000","25,000,000",UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Daulton Varsho,TOR,"20,000,000","20,000,000",UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAD (25),,,OF,Jakob Marsee,MIA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-SEA (25),,,OF,Dane Myers,MIA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Waive-BAL (26),,,OF,Jacob Young,WSH,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (24) Rd 1,,,OF,Cam Smith,HOU,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Mark Canha,KC,"5,000,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIA (25),,,UT,Moises Ballesteros,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-TOR (26),,,SP,Shane Bieber,CLE,"19,687,500","19,687,500","19,687,500","19,687,500",UFA,,,,,,,,,
,X,,,,,0,24,,,,,,,,,Trade-TB (25),,,SP,Nick Nastrini,CHW,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade- PHI (25),,,SP,Sandy Alcantara,MIA,"8,650,000","21,000,000",UFA,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,Waive-LAA (25),,,SP,Taijuan Walker,PHI,"1,000,000","1,000,000",UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAD (25),,,SP,Didier Fuentes,ATL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
