S t .   L o u i s   C a r d i n a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,SS,Jude Warwick,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,SS,Willian Trinidad,TB,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,SS,Sebastian Walcott,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,2026,,SS,Jonathan Mejia,STL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2027,,3B,Peyton Carr,MIN,,,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-KC (23),Exempt,,3B,Alex Binelas,BOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,OF,Andy Polanco,SF,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,OF,Anthony Millan,HOU,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATH (25),2027,,OF,Asbel Gonzalez,KC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 6,2027,,OF,Cole McConnell,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 1,2029,,OF,Sean Gamble,KC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2026,,OF,Brett Bateman,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,OF,Isaias Castillo,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,OF,Robin Ortiz,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,OF,Clay Winklaar,SDP,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,OF,Bralyn Brazoban,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 5,2026,,OF,Jonah Cox,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (23),2026,,OF,Douglas Glod,ATL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,OF,Raymond Mola,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,OF,Darling Fernandez,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,OF,Juan Obispo,WSH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB (22),2026,,OF,Kenni Gomez,HOU,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,OF,Andres Arias,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Waive-BOS (24),2026,,OF,Wady Mendez,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,OF,Iverson Allen,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB (24),2026,,OF,Tommy Hawke,CLE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,P,Fisher Jameson,COL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,P,Sean Heppner,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 6,2029,,P,Hayden Vucinovich,MIL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 3,2027,,P,Tristan Smith,CIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2027,,P,Justin Chambers,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 5,2028,,P,Caden Hunter,BAL,,,,,,,,,,,,,,
