ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*06l0r*,Jean Santana,(N/A),2B,8475,FA,19,,0,0,0,-,0%,0%
*06v25*,Jose Santana,LAA,SS,8476,FA,17,,0,0,0,-,0%,0%
*06r55*,Kevin Santana,HOU,SP,8477,FA,18,,0,0,0,-,0%,0%
*04j4f*,Luis Santana,(N/A),3B,8478,FA,26,,0,0,0,-,1%,0%
*05y52*,Natanael Santana,LAA,OF,8479,FA,24,,0,0,0,-,0%,0%
*072nz*,Sandro Santana,ARI,RP,8482,FA,20,,0,0,0,-,0%,-
*06qyr*,Tyler Santana,CHC,RP,8483,FA,27,,0,0,0,-,0%,0%
*06sbl*,Victor Santana,ARI,3B,8484,FA,17,,0,0,0,-,1%,0%
*06xwc*,Yoander Santana,PIT,3B,8485,FA,18,,0,0,0,-,0%,0%
*05l1n*,Juan Santander,(N/A),1B,8487,FA,23,,0,0,0,-,1%,0%
*05uhb*,Carlos Santiago,MIA,SS,8488,FA,24,,0,0,0,-,0%,0%
*0517k*,Glenn Santiago,TOR,2B,8489,FA,25,,0,0,0,-,1%,0%
*05r6b*,Pedro Santillan,LAD,RP,8490,FA,24,,0,0,0,-,0%,0%
*061pk*,Angeudis Santos,(N/A),2B,8492,FA,24,,0,0,0,-,0%,0%
*046td*,Antonio Santos,(N/A),SP,8493,FA,29,,0,0,0,-,1%,0%
*06bj2*,Enmanuel Santos,KC,OF,8495,FA,20,,0,0,0,-,0%,0%
*05nt2*,Ghordy Santos,SF,SS,8496,FA,26,NYY Wed 5:05PM,0,0,0,-,0%,0%
*066bx*,Javier Santos,CLE,SP,8497,FA,22,,0,0,0,-,1%,0%
*06qka*,Miguel Santos,CHW,"2B,3B",8499,FA,24,,0,0,0,-,0%,0%
*06fqv*,Nolan Santos,MIN,RP,8500,FA,25,,0,0,0,-,0%,0%
*0517n*,Oscar Santos,(N/A),C,8501,FA,25,,0,0,0,-,0%,0%
