MEMPHIS REDBIRDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Braxton Ashcraft,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Noah Cameron,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jonny Cuevas,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,JD Thompson,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dalton Pence,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kade Anderson,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Malachi Witherspoon,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Bryce Elder,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Carson Dorsey,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Cole Miller,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Alejandro Rosario,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ben Brecht,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Owen White,TEX,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,Declined 10/23/25,,,2B,David Fletcher,LAA,"2,400,000","2,550,000",,,,,,,,,,,
,,,,,,,,,,,,,,,Declined 10/23/25,,,RP,Aaron Bummer,CHW,"2,250,000",,,,,,,,,,,,
