LEHIGH VALLEY IRONPIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Trevor Rogers,MIA,ARB3,UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Jameson Taillon,CHC,"17,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Cody Bradford,TEX,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Anthony DeSclafani,FA,"1,000,000","1,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Jacob Misiorowski,MIL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Freddy Peralta,MIL,"8,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,German Marquez,COL,"3,000,000","3,000,000",UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Robert Suarez,SD,"9,200,000","9,200,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Chad Green,TOR,"4,000,000","4,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Keegan Akin,BAL,"4,000,000","4,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Yimi Garcia,TOR,"3,000,000","3,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Mike Soroka,CHW,"4,500,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Ike Irish,BAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Jonathon Long,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Hunter Hines,WAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Austin Shenton,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Wyatt Henseler,WAS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Brayden Taylor,TB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Antonio Anderson,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Nick Becker,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Bobby Boser,ATH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Dean Curley,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Sammy Stafura,CIN,,,,,,,,,,,,,
