TOLEDO MUD HENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Isaiah Coupet,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Reggie Crawford,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Deivy Cruz,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Trenton Denholm,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Cade Denton,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jay Driver,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Tyler Gough,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Anthony Eyanson,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Josh Grosz,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Cesar Lares,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Michael McGreevy,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Talon Haley,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Michael Massey,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jared Spencer,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Connor O'Halloran,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Micah Ottenbreit,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Paulshawn Pasqualotto,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jake Peppers,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Max Rajcic,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jake Clemente,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jason Savacool,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Tristan Smith,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Sean Sullivan,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Logan Van Treeck,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Trenton Wallace,TOR,,,,,,,,,,,,,
