LAS VEGAS AVIATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,William Contreras,MIL,"6,100,000",ARB3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Spencer Horwitz,TOR,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,C.J. Kayfus,CLE,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,David Hamilton,BOS,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SS,Francisco Lindor,NYM,"33,800,000","33,800,000","33,800,000","33,800,000","33,800,000","16,900,000",UFA,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Leo Rivas,SEA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SS,Shay Whitcomb,HOU,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,3B,Brooks Baldwin,CHW,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Wyatt Langford,TEX,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,OF,Tyrone Taylor,MIL,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,DaShawn Keirsey,MIN,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Luis Matos,SFG,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,OF,Chas McCormick,HOU,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Bowden Francis,TOR,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Gerrit Cole,NYY,"36,000,000","36,000,000","36,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Zach Eflin,TB,"19,999,999","19,999,999","19,999,999","19,999,999","19,999,999","19,999,999",UFA,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Jose Urquidy,HOU,"1,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Janson Junk,MIA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Pierson Ohl,MIN,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Eiberson Castellano,PHI,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SP,Joey Estes,OAK,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Grant Anderson,TEX,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Max Kranick,NYM,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Jhoan Duran,MIN,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Drew Jameson,ARI,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Yirer Garcia,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Cooper Ingle,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Eddy Isturiz,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Michael Oliveto,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Javier Sanchez,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Omar Martinez,NYY,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Justin Gonzales,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Ryan Nicholson,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Yunior Amparo,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Juan Ortuno,MIL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Aron Estrada,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Christian Knapczyk,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Carlos Renzullo,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Dervy Ventura,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Enyervert Perez,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Roldy Brito,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Javier Mogollon,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Hao-Yu Lee,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Reyli Mariano,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Quinn McDaniel,SF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Gavin Conticello,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Nick Lorusso,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,T.J. Rumfield,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Parks Harber,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Javier Rivas,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Wilder Dalis,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Mitch Voit,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jay Beshears,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Carlos Sanchez,CIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Edwin Amparo,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Conrad Cason,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jose Mejia,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Elian Pena,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Yeferson Portolatin,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Josh Adamczewski,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Bryce Rainer,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Cooper Flemming,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Johan Rodriguez,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Daniel Pierce,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jude Warwick,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Larry Martinez,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Josi Novas,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Leandro Romero,SEA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Victor Bericoto,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Josue Brito,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Bo Davidson,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Browm Martinez,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nick Mitchell,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Lucas Ramirez,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Ethan Workinger,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Joseph Sullivan,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Carlos Gutierrez,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yophery Rodriguez,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jaset Martinez,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Handelfry Encarnacion,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Braiden Ward,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Pablo Nunez,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yeremi Cabrera,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Eddie Micheletti Jr.,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Chase Davis,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kevin Alvarez,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Coby Morales,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nate Nankil,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Gabriel Rincones Jr.,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yorger Bautista,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Ian Petrutz,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Oliver Tejada,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,RJ Schreck,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Dashyll Tejeda,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,TJayy Walton,PHI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Pablo Aldonis,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Connor Phillips,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ryan Lobus,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dylan Cumming,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Sean Linan,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Felipe De La Cruz,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jacob Morrison,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kyson Witherspoon,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Carlos Espinosa,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Lazaro Estrada,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brian Curley,ARZ,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dominick Reid,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Yhoiker Fajardo,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jose Feliz,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ryan McDonagh,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Mason Molina,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jose Gonzalez,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Riley Gowens,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Leandro Lopez,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Mavis Graves,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Aidan Foeller,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ryan Jennings,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ty Langenberg,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Chen-Wei Lin,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Blake Money,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Hayden Mullins,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Luis Serna,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ben Shields,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Joander Suarez,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Cameron Weston,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Owen Wild,TB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SP,Tanner Jones,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Tyrone Yulie,NYY,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Yujanyer Herrera,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Andre Granillo,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Ruddy Navarro,SEA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,2/24/25,,,,,,,,,,,,,,,,,,,,,,,,,,,
