LOUISVILLE BATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Jorge Rodriguez,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Boston Smith,WAS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Miguel Caraballo,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Chase Heath,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Enry Torres,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Anderson Araujo,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Yeison Acosta,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Christopher Suero,NYM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Jostin Ogando,BOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Jansel Luis,ARI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Aldo Gaxiola,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jhon Simon,TEX,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Angel Salio,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Hyun Seung Lee,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Yordani Soto,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jose Riera,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Hector Ramos,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jonathan Martinez,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Rony Bello,WAS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Cameron Cauley,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Eliomar Garces,TBR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Kayson Cunningham,ARZ,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Demetrio Crisantes,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Louis Andujar,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Luis Arana,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Marconi German,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Anthony Abreu,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Yorber Semprun,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Edgardo De Leon,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Abrahan Ramirez,MIA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Isaac Garcia,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Miguel Bleis,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Luis Morejon,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Luis Guanipa,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Joyner Perez,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Everson Pereira,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jace Laviolette,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yeiferth Castillo,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Owen Carey,ATL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
