OKLAHOMA CITY 89ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Max Anderson,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B ,Wilfred Veras,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jack Brannigan,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Ruben Santana,ARI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Carson Williams,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Kevin McGonigle,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Felnin Celesten,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Quentin Young,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Konnor Griffin,PIT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Pedro Catuy,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Raylin Heredia,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Zyhir Hope,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jose Pirela,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Robert Calaz,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nolan Schubart,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Brandon Winokur,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Andres Valor,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jonny Farmelo,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Lonnie White,PIT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Luis De Leon,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Andrew Painter,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Fernando Perez,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Cole Schoenwetter,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Gabe Davis,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Briggs McKenzie,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Trey Yesavage,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ryan Sloan,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jonah Tong,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Seth Hernandez,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Noah Schultz,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dasan Hill,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Trevor McDonald,SF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
